MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022miket_qm48,red,frc8385,frc5166,frc5460,60,78,0,0,0,0,0,12,3,0,1,1,1,16,4,true,10,High,None,None,2,0,false,20,false,1,Yes,Yes,No,0,0,0,0,0,34,17,3,7,3,4,44,60
2022miket_qm49,blue,frc6548,frc3322,frc8193,43,27,0,1,1,0,0,8,3,0,1,0,0,14,6,false,10,None,Mid,Low,1,0,false,18,false,2,Yes,Yes,Yes,0,3,3,4,1,19,15,0,2,1,1,29,43
2022miket_qm49,red,frc4994,frc8767,frc2145,27,43,0,0,0,0,0,0,0,0,0,0,0,2,2,false,21,Mid,None,Traversal,0,4,true,0,false,1,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,21,27
2022miket_qm5,blue,frc8774,frc2145,frc5084,41,31,0,1,0,1,0,4,2,0,0,0,0,6,2,false,21,None,Mid,Traversal,0,0,true,16,false,3,No,No,Yes,0,3,4,4,3,14,14,0,0,0,0,35,41
2022miket_qm5,red,frc815,frc8385,frc4994,31,41,0,0,1,0,0,6,2,0,1,0,0,8,2,false,15,None,None,Traversal,0,0,false,7,false,0,No,No,Yes,0,0,0,2,0,8,5,2,1,0,0,23,31
2022miket_qm50,blue,frc5260,frc6610,frc6091,31,21,0,2,0,0,0,4,2,0,0,0,0,10,6,false,12,Mid,Mid,None,0,0,false,11,false,2,Yes,Yes,Yes,0,2,0,6,1,9,9,0,0,0,0,21,31
2022miket_qm50,red,frc815,frc3568,frc5697,21,31,0,0,0,1,0,2,1,0,0,0,0,6,4,false,6,None,Mid,None,0,0,false,6,false,0,No,Yes,Yes,0,0,2,1,0,9,5,2,0,0,0,15,21
2022miket_qm51,blue,frc5084,frc494,frc5247,72,47,0,0,1,1,0,12,4,0,1,0,1,18,6,true,36,Traversal,Traversal,Mid,1,4,true,22,false,4,Yes,Yes,Yes,0,9,2,2,1,22,18,1,1,2,0,58,80
2022miket_qm51,red,frc5114,frc3542,frc4998,47,72,0,0,0,0,0,20,5,2,2,1,0,24,4,false,0,None,None,None,1,4,false,15,true,0,No,Yes,Yes,0,1,4,0,0,15,10,3,0,2,0,15,43
2022miket_qm52,blue,frc7202,frc5641,frc7192,37,26,0,0,0,1,0,2,1,0,0,0,0,6,4,false,21,Traversal,None,Mid,0,8,true,3,false,3,Yes,No,Yes,0,2,0,0,0,2,2,0,0,0,0,23,37
